年,都道府県市区町村,自民得票計,井上得票,投票者数,UC有無,HS有無,HC有無,A2101_住民基本台帳人口（日本人）,A210101_住民基本台帳人口（日本人）（男）,A210102_住民基本台帳人口（日本人）（女）,A2201_住民基本台帳人口（外国人）,A2301_住民基本台帳人口（総数）,A4101_出生数,A4200_死亡数,A5101_転入者数（日本人移動者）,A5102_転出者数（日本人移動者）,A5103_転入者数,A5104_転出者数,A7103_住民基本台帳世帯数（日本人）,A9101_婚姻件数,A9201_離婚件数,B1101_総面積（北方地域及び竹島を除く）,B1102_総面積（北方地域及び竹島を含む）,B1103_可住地面積,B1104_主要湖沼面積,C120110_課税対象所得,C120120_納税義務者数（所得割）,C120130_納税義務者数（均等割）,C3107_耕地面積,C3403_製造業事業所数,C3404_製造業従業者数,D1202_一般行政部門職員数（市区町村）,E1101_幼稚園数,E1501_幼稚園在園者数,E2101_小学校数,E2401_小学校教員数,E2501_小学校児童数,E3101_中学校数,E3401_中学校教員数,E3501_中学校生徒数,E3901_義務教育学校数,E3902_義務教育学校前期課程学級数,E3903_義務教育学校後期課程学級数,E3904_義務教育学校教員数,E3905_義務教育学校前期課程児童数,E3906_義務教育学校後期課程生徒数,E4101_高等学校数,E4501_高等学校生徒数,F1101_労働力人口,F110101_労働力人口（男）,F110102_労働力人口（女）,F1102_就業者数,F110201_就業者数（男）,F110202_就業者数（女）,F1103_就業者数・主に仕事,F1104_就業者数・家事のほか仕事,F1105_就業者数・通学のかたわら仕事,F1106_就業者数・休業者,F1107_完全失業者数,F110701_完全失業者数（男）,F110702_完全失業者数（女）,F1108_非労働力人口,F110801_非労働力人口（男）,F110802_非労働力人口（女）,F1109_非労働力人口・家事,F1110_非労働力人口・通学,F1111_非労働力人口・その他,F1301_農林漁業者,F1302_農林漁業雇用者,F1303_会社団体役員,F1304_商店主,F1305_工場主,F1306_サービス・その他の事業主,F1307_専門職業者,F1308_技術者,F1309_教員・宗教家,F1310_文筆家・芸術家・芸能家,F1311_管理職,F1312_事務職,F1313_販売人,F1314_技能者,F1315_労務作業者,F1316_個人サービス人,F1317_保安職,F1318_内職者,F2116_就業者数（65歳以上）,F2201_第1次産業就業者数,F2211_第2次産業就業者数,F2221_第3次産業就業者数,F2401_雇用者数（国勢調査結果）,F2402_役員数,F2403_雇人のある業主数,F2404_雇人のない業主数,F2405_家族従業者数（国勢調査結果）,F2406_自営業主及び家族従業者数,F2409_雇用者数（正規の職員・従業員）,F2410_雇用者数（労働者派遣事業所の派遣社員）,F2411_雇用者数（パート・アルバイト・その他）,F2701_自市区町村で従業している就業者数,F270101_自市区町村で従業している就業者数（男）,F270102_自市区町村で従業している就業者数（女）,F2702_県内他市区町村で従業している就業者数,F270201_県内他市区町村で従業している就業者数（男）,F270202_県内他市区町村で従業している就業者数（女）,F2703_他県で従業している就業者数,F270301_他県で従業している就業者数（男）,F270302_他県で従業している就業者数（女）,F2705_他市区町村への通勤者数,F270501_他市区町村への通勤者数（男）,F270502_他市区町村への通勤者数（女）,F2801_従業地による就業者数,F2802_他県に常住している就業者数,F2803_他市区町村からの通勤者数,G1201_公民館数,G1401_図書館数,H1800_着工新設住宅戸数,H1801_着工新設持家数,H1802_着工新設貸家数,H1803_着工新設分譲住宅数,H1804_着工新設給与住宅数,H1810_着工新設持家・分譲住宅数,H2600_着工新設住宅床面積,H2601_着工新設持家床面積,H2602_着工新設分譲住宅床面積,H2603_着工新設貸家床面積,H2604_着工新設給与住宅床面積,H7207_軽自動車等台数,H7208_二輪の小型自動車台数,H7209_原動機付自転車台数,H720901_原動機付自転車台数（50ｃｃ以下）,H720902_原動機付自転車台数（50ｃｃ超90ｃｃ以下）,H720903_原動機付自転車台数（90ｃｃ超）,H720904_原動機付自転車台数（ミニカー）,H7210_軽自動車及び小型特殊自動車台数,H721001_二輪車台数（側車付のものを含む）,H721002_三輪車台数,H7701_テレビ放送受信契約数,H770101_衛星放送受信契約数,I5101_病院数,I510110_精神科病院数,I510120_一般病院数,I510150_療養病床を有する病院数,I5102_一般診療所数,I510201_有床一般診療所数,I5103_歯科診療所数,I5211_病院病床数,I5212_一般診療所病床数,I5511_介護老人保健施設数（基本票）,I5512_介護老人保健施設定員数（基本票）,J2221_保護施設数（基本票）（医療保護施設を除く）,J230127_介護老人福祉施設数（基本票）,J230128_介護老人福祉施設定員数（基本票）,J2304_老人福祉施設数（基本票）,J230411_養護老人ホーム数（基本票）,J230412_養護老人ホーム定員数（基本票）,J230421_有料老人ホーム数（基本票）,J230422_有料老人ホーム定員数（基本票）,J230431_軽費老人ホーム数（基本票）,J230432_軽費老人ホーム定員数（基本票）,J250204_児童福祉施設等数（基本票）,J250302_保育所等数（基本票）,J250303_公営保育所等数（基本票）,J2804_母子・父子福祉施設数（基本票）,J2905_障害者支援施設等数（基本票）,J2906_婦人保護施設数（基本票）,J4101_国民健康保険被保険者数
2019,青森県青森市,35757.706,153.96,105040,1,1,1,277378,129416,147962,1068,278446,1480,3566,6834,7523,6959,7623,136407,938,421,82461,82461,25927,0,342453121,123323,133870,8400,176,5778,1148,24,1638,43,885,12593,21,553,7081,0,0,0,0,0,0,13,8108,139170,75842,63328,130968,70669,60299,112987,14058,1286,2637,8202,5173,3029,105049,35246,69803,37118,13478,54453,3760,340,2910,1060,950,1220,1710,9010,5950,1350,400,26480,16580,20970,10980,15730,4510,40,14509,3956,19050,102763,107198,5328,2717,7744,4165,14626,71856,1998,33344,120015,63413,56602,6657,4467,2190,955,859,96,7612,5326,2286,134418,852,11062,42,2,1294,812,247,233,2,1045,130560,97134,21510,11659,257,98466,2799,6409,4608,658,1030,113,89258,2823,0,112297,56775,20,4,16,9,218,32,135,4360,484,14,1082,0,14,844,11,2,155,121,3939,7,214,162,89,0,0,22,0,59394
2019,青森県弘前市,21589.306,57.972,62433,1,0,1,167724,77558,90166,755,168479,1041,2435,4336,4630,4415,4772,79783,546,262,52420,52420,29399,0,196119221,69562,78957,14000,154,7257,877,10,617,35,598,7337,18,369,4101,0,0,0,0,0,0,9,5710,89796,46899,42897,85719,44465,41254,73112,9298,1542,1767,4077,2434,1643,61426,21195,40231,18417,10944,32065,10940,1080,1310,660,400,840,2400,5600,5070,720,230,11380,8120,13620,6070,9350,1910,110,13757,12316,13579,54242,60182,3159,2931,7765,7921,18617,40186,1384,18612,71927,35689,36238,9720,6328,3392,572,514,58,10292,6842,3450,94939,383,19512,15,4,904,459,222,219,4,678,90872,55624,22435,12256,557,78403,1577,6293,5137,401,619,136,70533,1547,0,68698,39719,15,3,12,5,163,39,93,3310,553,10,927,0,11,735,11,2,190,85,2486,4,140,101,65,0,0,12,0,41394
2019,青森県八戸市,28483.28,87.805,78842,1,1,1,224617,107578,117039,1228,225845,1378,2750,5895,6468,6010,6629,108385,843,349,30556,30556,20345,0,290108026,101819,112991,4810,328,14178,1028,16,849,42,757,10791,26,505,5758,0,0,0,0,0,0,14,7512,114320,63498,50822,108032,59622,48410,94365,11146,564,1957,6288,3876,2412,83080,29351,53729,28106,10909,44065,1960,1330,2510,1020,810,1020,1860,7480,5420,760,290,18950,13100,24350,9420,11460,4240,80,11455,3625,24286,77656,89982,5061,2064,5997,2899,10960,62191,1842,25949,96661,51781,44880,7164,4762,2402,2139,1856,283,9303,6618,2685,116047,2651,17318,28,3,1157,652,197,277,31,929,114211,76944,26458,9789,1020,81987,2143,5327,3796,564,876,91,74517,1867,1,90745,41522,21,5,16,6,162,25,95,3949,344,7,730,0,9,565,8,1,50,54,2004,5,170,105,81,0,0,10,0,47422
2019,青森県黒石市,4153.507,7.583,11634,0,0,0,32404,15203,17201,126,32530,165,488,594,824,610,836,13715,100,42,21705,21705,7291,0,31083447,13572,15561,3510,43,2678,209,2,61,4,93,1362,2,55,677,0,0,0,0,0,0,3,802,18419,9711,8708,17552,9125,8427,15349,1823,91,289,867,586,281,11579,3930,7649,3582,1744,6253,2300,350,170,160,90,290,110,1130,730,80,70,2060,1530,4070,1510,1810,390,40,2617,2780,4213,10066,12748,574,497,1879,1579,3955,8715,317,3716,10823,5289,5534,6275,3520,2755,178,161,17,6453,3681,2772,15802,28,4703,10,0,113,93,16,4,0,97,12965,11323,409,1233,0,17267,344,1182,953,82,102,45,15741,370,0,11936,5757,3,1,2,1,17,1,13,663,10,1,100,0,2,105,2,1,50,17,423,0,0,22,15,0,0,7,0,8595
2019,青森県五所川原市,7499.925,28.35,20772,0,0,1,53096,24395,28701,108,53204,251,799,1326,1551,1333,1558,25536,133,80,40420,40420,17136,1781,52638456,20946,24179,9280,61,1629,337,5,166,11,190,2146,6,117,1130,0,0,0,0,0,0,6,2149,27858,14679,13179,26206,13666,12540,22463,3227,77,439,1652,1013,639,20419,6831,13588,6582,2547,11290,2860,510,300,320,220,320,230,1620,1550,130,120,3510,2650,4540,2260,3250,550,10,3982,3704,5157,16512,18667,1085,823,2835,2185,5843,12528,416,5723,18988,9363,9625,6338,3697,2641,301,270,31,6639,3967,2672,26383,40,6816,2,3,218,128,42,48,0,176,23222,16283,4475,2464,0,27469,499,1503,1207,90,147,59,25467,545,0,20596,9261,6,1,5,4,42,4,22,1004,62,2,200,0,6,260,9,1,50,24,492,2,60,21,21,0,0,5,0,14353
2019,青森県十和田市,8662.595,8,22008,1,0,1,60007,28797,31210,338,60345,327,865,1511,1716,1559,1744,27575,190,99,72565,72565,19918,3663,73804815,26850,30199,12300,85,3248,294,3,145,16,251,2795,10,170,1536,0,0,0,0,0,0,4,1815,32489,17529,14960,31098,16671,14427,27285,3039,194,580,1391,858,533,21383,7726,13657,5764,3510,12109,3470,560,660,420,230,290,580,1870,1770,140,130,5040,3050,6070,2590,3520,550,20,4880,3767,6821,19263,23089,1340,770,2801,2103,5674,15816,430,6843,24654,12432,12222,5229,3479,1750,234,206,28,5463,3685,1778,31075,186,5440,1,1,319,189,63,66,1,255,33078,22736,6580,3598,164,34339,658,2652,2090,221,280,61,31029,652,0,24589,11986,5,2,3,0,41,9,22,988,86,4,400,2,3,230,1,0,0,18,712,1,30,30,28,0,0,4,0,14063
2019,青森県三沢市,8177.95,11.785,16278,0,0,0,38691,19246,19445,632,39323,323,404,1899,2236,1975,2262,18933,213,85,11987,11987,9782,0,55366021,18508,20277,3780,36,2362,270,3,306,7,143,2067,5,107,1081,0,0,0,0,0,0,2,1122,20456,11908,8548,19625,11361,8264,17413,1867,54,291,831,547,284,11788,3851,7937,4213,1567,6008,900,380,260,160,120,240,200,1070,770,170,40,2470,1470,3760,1610,1950,2600,20,2011,1344,4078,13225,15732,711,407,1151,801,2359,11373,314,4045,13913,7571,6342,4701,3103,1598,183,164,19,4884,3267,1617,21144,120,6403,1,1,233,95,124,14,0,109,19036,11314,1317,6405,0,17519,593,1018,736,72,173,37,15908,424,0,15779,5466,4,1,3,1,19,1,16,494,3,1,100,0,3,160,1,0,0,10,288,0,0,28,18,0,0,0,0,7997
2019,青森県むつ市,10238.818,12.8,22625,0,0,1,55773,27192,28581,158,55931,284,821,1891,2215,1920,2232,28740,195,107,86412,86412,13922,268,65999258,24011,27023,3130,41,1589,377,8,434,13,214,2524,9,158,1324,0,0,0,0,0,0,4,1522,28057,16375,11682,26565,15388,11177,23611,2517,45,392,1492,987,505,21858,7309,14549,8185,2007,11666,610,600,330,450,170,410,290,1390,1320,120,130,4010,2190,5540,2330,2600,3010,40,2937,1386,5591,19002,21784,904,698,1653,949,3300,14593,288,6903,23464,13059,10405,2145,1645,500,297,279,18,2442,1924,518,25630,122,1507,25,4,132,106,18,8,0,114,15517,13418,848,1251,0,22192,448,1465,1153,105,172,35,20279,474,0,24324,12764,3,0,3,1,34,6,20,584,80,3,209,0,6,334,3,1,50,15,436,1,20,19,15,0,0,5,0,12755
2019,青森県つがる市,4930.514,15,11432,0,0,0,31313,14722,16591,100,31413,135,490,581,823,595,832,13521,85,39,25355,25355,21362,125,26916145,11507,13797,14300,29,687,217,1,62,8,117,1194,5,81,722,0,0,0,0,0,0,1,457,16965,9265,7700,15881,8532,7349,13533,2120,22,206,1084,733,351,11669,3798,7871,3648,1242,6779,4240,290,120,140,150,140,50,590,600,30,30,1660,1080,2720,1340,1700,480,30,3132,4681,2872,7911,9576,420,564,2456,2561,5581,6300,207,3069,11072,5891,5181,4427,2388,2039,106,99,7,4533,2487,2046,14702,23,3354,3,1,114,62,50,2,0,64,11935,8423,220,3292,0,21151,374,1289,1069,64,104,52,19488,337,0,10860,5085,1,0,1,1,12,1,9,265,4,1,100,0,3,220,5,1,50,8,172,0,0,16,14,0,0,3,0,10001
2019,青森県平川市,4489.623,10,11318,0,0,0,30646,14419,16227,62,30708,151,484,597,658,607,672,12037,76,41,34601,34601,9533,0,27542301,11932,14276,5140,39,2857,225,1,22,9,129,1380,4,76,694,0,0,0,0,0,0,2,557,17648,9423,8225,16331,8519,7812,14196,1861,57,217,1317,904,413,10511,3451,7060,3076,1495,5940,3640,270,180,210,60,220,100,940,570,100,40,1900,1460,3530,1440,1630,180,10,3053,3972,3630,8641,10991,445,550,2137,2123,4810,7524,272,3195,9089,4723,4366,6970,3584,3386,187,168,19,7157,3752,3405,13512,28,4338,4,2,142,120,10,11,1,131,16414,14804,1020,547,43,17618,260,1345,1154,68,92,31,16013,301,0,10439,5924,0,0,0,0,19,2,9,0,38,3,280,0,2,125,1,0,0,3,68,1,20,15,13,0,0,4,0,8040
