subclass,都道府県市区町村,UC有無,inoue_ratio_change,投票者数,total_vote,x
45,埼玉県神川町,1,1.779704225,5011,9524,1
45,埼玉県美里町,0,0.130017862,4513,9524,1
119,長野県小布施町,1,0.417144851,5479,15583,2
119,三重県明和町,0,0.040287996,10104,15583,2
118,長野県南箕輪村,1,-0.039929265,7668,15851,3
118,兵庫県福崎町,0,0.124132109,8183,15851,3
191,鳥取県湯梨浜町,1,0.490584059,7553,21518,4
191,新潟県胎内市,0,0.169704659,13965,21518,4
57,千葉県鴨川市,1,0.123300485,13419,24005,5
57,広島県大竹市,0,0.715215135,10586,24005,5
59,千葉県九十九里町,1,0.018580364,6173,25386,6
59,千葉県山武市,0,0.117574062,19213,25386,6
103,富山県砺波市,1,0.314806438,22863,29420,7
103,長野県松川町,0,0.14851169,6557,29420,7
225,高知県南国市,1,0.223904937,16915,31632,8
225,徳島県小松島市,0,0.205985037,14717,31632,8
102,富山県滑川市,1,0.252078979,13961,31776,9
102,富山県黒部市,0,0.205707435,17815,31776,9
11,宮城県柴田町,1,0.268662328,15473,32493,10
11,宮城県岩沼市,0,0.014388615,17020,32493,10
232,福岡県粕屋町,1,0.152862887,18052,35507,11
232,熊本県菊陽町,0,0.212965753,17455,35507,11
107,石川県加賀市,1,0.277994232,25315,39521,12
107,京都府綾部市,0,0.009997078,14206,39521,12
193,島根県浜田市,1,0.387505134,24364,39964,13
193,島根県大田市,0,0.122516742,15600,39964,13
195,島根県益田市,1,1.046775152,21787,41544,14
195,兵庫県赤穂市,0,0.05768239,19757,41544,14
21,福島県白河市,1,0.055033149,26390,42123,15
21,福島県相馬市,0,-0.330238405,15733,42123,15
218,香川県観音寺市,1,0.608209853,23875,44537,16
218,福岡県朝倉市,0,0.188114681,20662,44537,16
58,千葉県香取市,1,-0.003942775,27103,45512,17
58,群馬県沼田市,0,0.054672415,18409,45512,17
241,熊本県玉名市,1,0.380134858,27770,48432,18
241,福岡県朝倉市,0,0.188114681,20662,48432,18
185,奈良県香芝市,1,0.080441709,34263,48461,19
185,兵庫県太子町,0,-0.011200026,14198,48461,19
187,和歌山県田辺市,1,0.210709569,31228,49081,20
187,兵庫県洲本市,0,6.28E-04,17853,49081,20
221,愛媛県宇和島市,1,0.290661681,32544,49517,21
221,大分県臼杵市,0,0.230545829,16973,49517,21
257,北海道岩見沢市,1,0.478205467,36018,51401,22
257,北海道伊達市,0,0.136694256,15383,51401,22
115,長野県諏訪市,1,0.710910571,23389,51902,23
115,福井県敦賀市,0,-0.236253635,28513,51902,23
188,和歌山県紀の川市,1,0.26886104,26382,53744,24
188,和歌山県橋本市,0,0.111781773,27362,53744,24
133,愛知県名古屋市中区,1,0.287499123,31886,53790,25
133,大阪府大阪市浪速区,0,0.027268904,21904,53790,25
143,愛知県津島市,1,0.303218166,23146,53914,26
143,群馬県館林市,0,0.135431866,30768,53914,26
44,埼玉県幸手市,1,0.240104875,21148,56929,27
44,千葉県茂原市,0,0.111651234,35781,56929,27
25,茨城県神栖市,1,0.00416477,31639,57013,28
25,茨城県鹿嶋市,0,0.169693791,25374,57013,28
106,石川県七尾市,1,0.384929419,18818,57294,29
106,秋田県由利本荘市,0,-0.014788892,38476,57294,29
204,広島県三原市,1,0.433429339,36476,60009,30
204,山口県山陽小野田市,0,0.391107232,23533,60009,30
123,岐阜県土岐市,1,0.281683555,25704,60165,31
123,愛知県蒲郡市,0,0.05966383,34461,60165,31
